"DepartmentGroupNumber","GroupSize","PercentMale","BAME","NumberTeamLeads","NumberFeMaleTeamLeads","Location","LondonorNot","Function","EMPsurvEngage_1","EMPsurvEngage_2","EMPsurvEngage_3","EMPsurvEngage_4","EMPsurvEngage_5","EMPsurvEngage_6","EMPsurvEngage_7","EMPsurvEngage_8","EMPsurvEngage_9","EMPsurvEngagement","EMPorgIntegrity1","EMPorgIntegrity2","EMPorgIntegrity3","EMPorgIntegrity4","EMPorgIntegrity5","EmpSurvOrgIntegrity","EMPsurvSUP1","EMPsurvSUP2","EMPsurvSUP3","EMPsurvSUP4","EmpSurvSupervisor"
18,18,65,NA,3,1,1,1,2,100,100,94,78,100,94,89,72,78,89,72,78,89,89,18,69.2,72,89,89,83,83.25
19,28,67,NA,4,0,1,1,2,96,86,86,54,96,57,89,82,82,81,75,86,89,89,19,71.6,79,79,64,82,76
29,11,33,NA,2,0,1,1,2,100,91,100,82,100,82,100,73,91,91,73,91,91,91,29,75,73,91,73,73,77.5
30,17,32,NA,2,0,1,1,2,100,100,100,94,100,88,100,88,94,96,100,100,100,100,30,86,100,100,100,100,100
35,32,18,NA,5,3,1,1,2,81,69,72,44,81,44,84,38,47,62,59,81,88,78,35,68.2,81,78,72,75,76.5
37,60,65,NA,9,0,1,1,2,97,97,87,92,97,78,92,55,83,86,87,92,93,80,37,77.8,88,92,78,87,86.25
44,23,15,NA,3,1,1,1,2,91,100,100,87,100,87,96,91,96,94,100,100,100,100,44,88.8,100,100,96,100,99
45,36,26,NA,5,0,1,1,2,100,94,89,97,97,94,97,69,78,91,61,89,89,81,45,73,75,83,78,78,78.5
47,32,65,NA,5,0,3,2,2,91,88,91,81,97,72,94,69,81,85,69,91,97,78,47,76.4,78,94,72,84,82
50,70,5,NA,10,2,3,2,2,97,97,93,90,99,90,99,80,93,93,69,94,97,80,50,78,96,96,90,91,93.25
51,52,75,NA,7,0,3,2,2,92,94,98,98,94,88,98,69,85,91,67,92,94,80,51,76.8,98,94,94,98,96
63,15,50,NA,2,0,3,2,2,93,100,93,87,93,87,100,80,93,92,60,100,100,93,63,83.2,87,93,100,80,90
66,28,56,NA,4,1,3,2,2,100,100,100,93,100,89,96,96,100,97,89,96,100,79,66,86,86,96,93,96,92.75
72,20,33,NA,3,0,3,2,2,100,100,100,80,100,75,100,95,100,94,70,100,100,95,72,87.4,80,85,80,85,82.5
73,61,25,NA,9,1,2,1,2,92,97,97,89,98,93,97,84,93,93,92,100,100,95,73,92,90,90,90,93,90.75
91,48,56,NA,7,0,2,1,2,71,77,71,40,90,37,87,54,60,65,44,85,96,79,91,79,77,90,88,91,86.5
98,21,26,NA,3,1,2,1,2,100,90,100,81,100,86,100,90,95,94,90,90,95,90,98,92.6,100,100,95,90,96.25
102,35,1,NA,5,2,3,2,2,86,80,86,80,80,60,94,46,63,75,51,89,97,63,102,80.4,77,74,69,71,72.75
109,56,45,NA,8,0,3,2,2,98,96,96,93,96,88,100,55,88,90,70,91,96,79,109,89,84,75,75,82,79
131,15,18,NA,2,1,3,2,2,87,67,60,47,87,33,73,73,67,66,67,80,73,67,131,83.6,93,87,67,67,78.5
132,70,65,NA,10,0,1,1,2,87,96,94,71,100,80,93,86,72,87,64,96,96,90,132,95.6,89,87,83,83,85.5
143,17,5,NA,2,2,3,2,2,100,100,100,94,100,88,100,88,94,96,100,100,100,100,143,108.6,100,100,100,100,100
148,38,64,NA,5,0,3,2,1,95,89,97,95,82,82,87,79,76,87,47,89,87,92,148,92.6,76,82,82,84,81
152,17,75,NA,2,0,3,2,1,82,53,65,76,82,59,76,71,53,69,59,65,82,76,152,86.8,71,82,65,71,72.25
154,34,65,NA,5,0,3,2,1,91,85,76,74,82,68,82,76,68,78,59,88,94,91,154,97.2,82,76,79,74,77.75
168,22,45,NA,3,2,3,2,2,95,95,95,100,91,64,100,64,86,88,91,91,86,86,168,104.4,95,100,91,100,96.5
172,40,45,NA,6,2,3,2,2,98,93,95,80,90,78,95,38,88,84,88,88,90,58,172,99.2,88,98,88,93,91.75
175,16,75,NA,2,1,2,1,1,100,100,100,100,100,81,100,81,88,94,94,100,100,100,175,113.8,94,81,50,75,75
176,13,25,NA,2,0,2,1,1,92,85,85,85,77,92,85,77,85,85,85,92,92,92,176,107.4,92,69,77,85,80.75
177,29,75,NA,4,2,2,1,1,90,90,90,83,97,76,93,72,86,86,69,93,97,76,177,102.4,83,97,72,90,85.5
182,21,35,NA,3,1,3,2,2,95,90,95,76,90,75,95,76,95,88,76,81,100,90,182,105.8,86,90,86,86,87
205,27,1,NA,4,2,3,2,2,89,81,81,56,89,59,89,67,67,75,59,93,96,89,205,108.4,85,78,78,85,81.5
206,18,57,NA,3,0,3,2,2,94,89,89,61,89,61,100,72,72,81,61,94,94,89,206,108.8,89,89,83,83,86
217,40,25,NA,6,2,3,2,2,90,95,95,75,100,75,98,95,93,91,65,93,95,58,217,105.6,88,83,85,93,87.25
222,26,96,NA,4,0,3,2,1,65,81,88,65,96,48,81,65,73,74,69,96,100,32,222,103.8,85,81,73,65,76
223,25,100,NA,4,0,3,2,1,84,84,96,64,92,52,88,68,68,77,52,96,100,44,223,103,96,92,84,80,88
224,45,49,NA,6,0,3,2,1,100,93,98,87,91,89,89,96,98,93,80,96,93,73,224,113.2,100,93,84,96,93.25
239,12,52,NA,2,0,3,2,2,100,75,83,75,92,75,100,75,75,83,83,100,100,75,239,119.4,92,75,50,58,68.75
240,48,3,NA,7,7,3,2,2,100,88,79,65,88,56,79,50,67,75,54,79,88,73,240,106.8,83,75,58,73,72.25
244,26,67,NA,4,0,2,1,2,96,96,81,77,92,69,92,46,62,79,62,85,96,81,244,113.6,81,77,76,77,77.75
261,36,65,NA,5,1,2,1,1,94,97,91,69,100,92,97,64,69,86,81,92,94,92,261,124,89,94,86,86,88.75
283,25,65,NA,4,0,2,1,1,92,92,92,72,96,67,88,48,84,81,60,92,100,76,283,122.2,88,92,84,88,88
284,13,50,NA,2,1,3,2,1,100,92,92,92,92,92,100,100,92,95,69,100,92,92,284,127.4,85,100,92,92,92.25
286,36,82,NA,5,2,3,2,1,94,81,81,64,83,72,78,61,72,76,56,83,86,75,286,117.2,69,67,75,61,68
288,18,25,NA,3,0,3,2,2,100,100,100,100,100,94,100,72,94,96,72,83,89,78,288,122,78,78,89,72,79.25
289,21,35,NA,3,0,1,1,2,86,90,100,90,95,95,95,62,86,89,67,95,90,86,289,125.4,90,100,95,90,93.75
294,26,65,NA,4,0,3,2,2,96,100,100,73,96,62,96,77,85,87,69,96,92,77,294,125.6,85,69,88,73,78.75
320,23,58,NA,3,0,3,2,2,74,78,35,87,96,43,91,78,39,69,78,83,83,91,320,131,74,70,65,78,71.75
344,19,24,NA,3,0,3,2,2,100,100,95,100,100,95,100,74,95,95,68,89,100,84,344,137,74,74,74,68,72.5
345,30,65,NA,4,1,3,2,2,87,93,90,83,100,73,100,70,83,87,83,93,97,90,345,141.6,83,97,70,77,81.75
350,16,56,NA,2,0,3,2,2,56,100,94,75,94,63,94,44,88,78,63,94,94,81,350,136.4,81,81,75,75,78
370,14,1,NA,2,0,3,2,2,93,86,86,71,86,64,86,43,57,75,64,86,86,100,370,141.2,86,86,93,100,91.25
374,14,75,NA,2,1,2,1,2,100,93,64,64,93,57,86,57,93,79,86,93,86,93,374,146.4,93,100,86,93,93
376,61,58,NA,9,3,2,1,2,92,74,66,69,80,64,84,57,66,72,54,75,79,75,376,131.8,70,75,80,67,73
394,44,61,NA,6,0,2,1,2,98,95,95,80,98,63,98,55,89,86,68,93,100,98,394,150.6,80,84,89,95,87
395,50,25,NA,7,0,3,2,2,100,98,98,86,100,80,100,82,94,93,80,94,96,88,395,150.6,82,90,84,90,86.5
402,59,68,NA,8,2,3,2,1,93,76,76,58,92,47,86,61,58,72,37,69,88,73,402,133.8,71,71,71,73,71.5
403,65,65,NA,9,0,3,2,1,89,82,80,46,91,32,91,63,54,70,45,68,88,75,403,135.8,82,91,86,88,86.75
404,50,67,NA,7,3,3,2,1,94,90,86,58,96,58,94,70,78,80,58,86,94,84,404,145.2,84,88,86,92,87.5
405,65,25,NA,9,0,3,2,1,94,92,89,72,97,55,91,75,78,83,68,80,89,80,405,144.4,88,88,86,91,88.25
406,40,65,NA,6,0,3,2,1,88,85,85,63,98,50,97,65,65,77,45,78,83,83,406,139,69,78,80,88,78.75
407,61,65,NA,9,0,3,2,1,100,95,97,72,100,73,98,79,85,89,64,92,97,92,407,150.4,92,97,97,98,96
409,44,56,NA,6,0,3,2,2,98,100,100,68,98,82,100,93,98,93,75,98,95,84,409,152.2,93,93,89,93,92
414,51,87,NA,7,1,2,1,1,98,96,98,92,98,92,100,86,98,95,73,92,94,92,414,153,96,94,96,100,96.5
418,44,87,NA,6,2,2,1,1,100,98,100,77,100,75,100,73,93,91,75,91,93,84,418,152.2,82,91,84,91,87
419,53,55,NA,8,0,2,1,1,98,100,100,74,100,81,100,85,96,93,63,87,89,91,419,149.8,87,94,91,100,93
430,60,45,NA,9,2,3,2,2,100,98,100,70,97,70,98,78,93,89,75,98,98,92,430,158.6,87,95,90,93,91.25
432,65,67,NA,9,0,3,2,2,95,92,97,66,95,69,97,78,86,86,60,85,89,82,432,149.6,75,91,83,91,85
437,42,5,NA,6,2,3,2,2,100,95,93,81,100,79,100,76,90,90,62,81,83,86,437,149.8,71,81,83,83,79.5
447,66,67,NA,9,2,1,1,2,98,88,85,55,97,55,92,74,79,80,62,91,92,88,447,156,74,79,76,88,79.25
459,14,62,NA,2,0,3,2,1,93,100,100,93,100,100,100,79,100,96,93,100,100,100,459,170.4,93,100,93,93,94.75
462,14,56,NA,2,0,3,2,1,86,100,93,86,100,79,100,86,79,90,93,100,93,100,462,169.6,100,100,100,93,98.25
464,36,100,NA,5,NA,3,2,1,92,97,92,94,100,81,100,81,86,91,78,94,94,89,464,163.8,92,97,94,94,94.25
466,17,55,NA,2,0,3,2,1,100,100,100,94,100,82,100,82,100,95,100,94,100,94,466,170.8,100,100,100,100,100
467,18,67,NA,3,1,3,2,1,100,89,89,83,100,72,100,72,72,86,83,94,100,83,467,165.4,83,94,94,89,90
468,48,82,NA,7,2,3,2,1,96,98,94,69,98,71,100,85,71,87,79,90,100,96,468,166.6,88,98,92,90,92
471,17,50,NA,2,0,2,1,2,94,82,94,100,100,76,100,94,88,92,76,94,94,88,471,164.6,94,94,94,94,94
472,19,54,NA,3,1,2,1,2,95,89,95,84,95,79,89,79,89,88,84,95,100,100,472,170.2,95,100,95,100,97.5
476,25,54,NA,4,0,2,1,2,88,100,92,92,92,80,100,88,68,89,92,96,96,96,476,171.2,100,100,96,100,99
477,33,49,NA,5,0,3,2,1,85,94,94,91,88,85,100,88,82,90,85,97,100,100,477,171.8,94,97,94,88,93.25
484,38,65,NA,5,0,3,2,1,92,92,95,79,95,66,92,79,76,85,63,89,97,92,484,165,87,92,84,84,86.75
486,12,82,NA,2,1,3,2,1,83,92,100,75,91,58,92,75,75,82,75,83,100,100,486,168.8,83,100,83,83,87.25
487,21,45,NA,3,0,3,2,1,90,95,90,81,100,86,95,67,90,88,57,86,95,86,487,162.2,81,81,81,81,81
491,18,65,NA,3,0,3,2,2,78,83,78,78,89,56,89,33,56,71,78,83,89,88,491,165.8,94,94,83,82,88.25
492,51,65,NA,7,0,3,2,2,92,92,92,59,92,51,92,59,73,78,76,86,96,88,492,167.6,90,86,84,90,87.5
495,39,96,NA,6,0,3,2,1,74,87,82,59,82,41,87,64,72,72,64,87,97,72,495,163,72,82,77,74,76.25
497,33,64,NA,5,0,3,2,2,100,88,85,61,91,45,94,58,67,76,79,94,94,91,497,171,82,88,85,82,84.25
498,17,86,NA,2,2,2,1,1,59,76,88,59,94,35,76,41,59,65,88,100,100,82,498,173.6,94,88,82,76,85
499,37,87,NA,5,0,2,1,1,95,97,100,95,97,89,100,65,94,92,86,86,95,92,499,171.6,95,97,89,84,91.25
507,35,65,NA,5,0,2,1,1,86,91,89,80,97,74,97,69,77,84,71,80,91,97,507,169.2,94,100,97,94,96.25
537,23,52,NA,3,0,3,2,2,91,100,100,96,100,87,91,83,100,94,74,96,100,91,537,179.6,96,87,100,96,94.75
538,17,50,NA,2,0,3,2,2,88,100,100,94,100,100,94,76,88,93,82,100,100,94,538,182.8,82,88,100,100,92.5
544,30,24,NA,4,0,3,2,2,93,100,100,77,100,87,100,83,90,92,87,97,93,97,544,183.6,93,83,93,97,91.5
564,45,65,NA,6,2,1,1,1,89,89,78,64,87,49,89,47,64,73,69,82,89,84,564,177.6,84,89,84,87,86
565,69,87,NA,10,0,3,2,1,84,80,80,55,86,39,84,49,51,67,68,78,94,86,565,178.2,84,88,77,74,80.75
566,43,65,NA,6,0,3,2,1,93,81,72,49,88,40,77,47,58,67,58,77,95,74,566,174,67,81,70,77,73.75
567,30,45,NA,4,2,3,2,1,73,77,70,60,77,43,67,40,50,62,67,83,90,77,567,176.8,80,90,72,77,79.75
568,21,65,NA,3,0,3,2,1,86,90,86,71,95,67,86,52,76,79,71,81,95,90,568,181,62,86,71,76,73.75
569,19,86,NA,3,0,3,2,1,84,89,79,68,89,58,95,58,74,77,84,89,95,100,569,187.4,84,84,79,74,80.25
570,53,75,NA,8,2,3,2,1,87,96,94,73,92,74,91,77,85,85,79,85,83,96,570,182.6,89,91,89,87,89
571,17,65,NA,2,0,2,1,1,88,76,82,75,94,65,82,88,82,81,71,76,76,82,571,175.2,82,94,81,82,84.75
572,34,24,NA,5,0,2,1,2,97,91,94,91,97,85,85,76,88,90,82,91,94,76,572,183,97,82,82,97,89.5
573,47,1,NA,7,0,2,1,2,68,89,83,66,85,55,91,57,81,75,62,79,74,83,573,174.2,68,81,66,68,70.75
574,37,55,NA,5,0,3,2,1,73,78,62,57,89,24,73,41,54,61,49,62,68,81,574,166.8,76,76,81,78,77.75
575,40,55,NA,6,0,3,2,1,70,80,68,40,90,23,80,65,69,65,58,63,63,83,575,168.4,78,85,63,78,76
576,38,99,NA,5,0,3,2,1,58,66,61,45,61,11,66,61,55,54,61,63,63,66,576,165.8,58,66,53,55,58
577,31,88,NA,4,0,3,2,1,68,84,81,39,81,26,74,68,71,66,68,71,74,87,577,175.4,61,68,52,74,63.75
578,67,75,NA,10,2,3,2,1,88,88,85,66,93,37,87,75,87,78,85,90,85,88,578,185.2,91,87,90,93,90.25
579,29,65,NA,4,0,3,2,1,79,79,72,48,72,59,69,72,76,70,46,50,64,55,579,158.8,62,46,34,62,51
581,34,55,NA,5,0,3,2,1,76,91,82,62,76,65,88,62,91,77,44,68,65,68,581,165.2,53,74,53,56,59
582,14,86,NA,2,1,3,2,1,79,86,79,29,79,50,71,71,86,70,43,43,64,79,582,162.2,71,71,71,86,74.75
585,35,55,NA,5,0,2,1,1,77,83,77,51,80,54,83,71,57,70,46,51,74,80,585,167.2,69,77,68,69,70.75
587,35,65,NA,5,0,2,1,1,91,86,86,79,94,71,91,80,89,85,74,91,91,91,587,186.8,94,89,80,86,87.25
588,68,65,NA,10,0,2,1,2,97,96,97,85,94,90,91,66,85,89,82,93,93,94,588,190,93,84,84,84,86.25
590,48,87,NA,7,0,3,2,1,100,96,98,81,98,92,94,65,83,90,85,94,94,96,590,191.8,98,81,83,83,86.25
592,18,75,NA,3,0,3,2,1,100,89,89,83,94,50,89,67,67,81,89,83,83,94,592,188.2,83,94,83,94,88.5
626,25,64,NA,4,0,3,2,2,96,84,92,64,84,60,92,64,76,79,76,96,96,84,626,195.6,88,96,88,80,88
629,58,52,NA,8,0,1,1,2,95,93,91,74,90,59,98,74,86,84,86,93,100,97,629,201,93,97,95,98,95.75
632,10,58,NA,1,0,3,2,1,30,70,70,60,100,50,100,60,40,64,60,80,60,80,632,182.4,90,60,70,60,70
633,25,67,NA,4,0,3,2,1,72,76,60,80,80,79,88,72,80,76,92,80,80,88,633,194.6,80,68,58,72,69.5
634,17,99,NA,2,3,3,2,1,65,71,35,82,88,41,94,47,41,63,76,94,94,100,634,199.6,82,65,65,76,72
636,47,65,NA,7,0,3,2,1,81,81,51,64,81,65,89,60,66,71,70,77,68,70,636,184.2,85,74,68,79,76.5
637,50,65,NA,7,0,3,2,1,94,92,88,64,86,61,86,80,92,83,76,70,70,82,637,187,74,80,72,72,74.5
643,27,45,NA,4,0,3,2,2,85,85,78,81,96,67,81,41,59,75,52,59,70,70,643,178.8,63,58,44,37,50.5
652,35,48,NA,5,2,2,1,2,97,97,97,86,94,86,91,69,89,90,82,82,76,80,652,194.4,89,82,89,94,88.5
662,23,25,NA,3,2,2,1,2,96,96,96,91,91,83,100,96,96,94,83,96,91,87,662,203.8,87,91,96,91,91.25
668,12,65,NA,2,1,2,1,1,100,91,91,45,92,58,100,67,83,81,83,92,83,83,668,201.8,83,92,83,75,83.25
690,44,86,NA,6,2,3,2,1,70,77,70,63,80,45,82,50,68,67,70,80,86,93,690,203.8,68,82,77,77,76
692,28,56,NA,4,1,3,2,2,86,82,79,82,96,71,96,50,75,80,54,79,86,89,692,200,71,79,68,57,68.75
693,22,55,NA,3,0,3,2,2,73,77,68,73,77,59,82,32,64,67,76,82,68,82,693,200.2,73,86,68,86,78.25
694,12,88,NA,2,1,3,2,1,83,67,75,67,75,50,83,50,58,68,50,92,100,100,694,207.2,83,75,83,83,81
699,21,65,NA,3,0,3,2,2,81,81,67,86,100,67,76,52,52,74,67,76,81,86,699,201.8,81,86,90,76,83.25
720,25,65,NA,4,1,3,2,1,92,96,88,92,96,60,92,76,88,87,88,88,88,88,720,214.4,96,96,88,88,92
721,16,75,NA,2,1,3,2,1,69,94,100,44,100,50,100,69,75,78,63,81,81,94,721,208,100,81,94,88,90.75
731,34,52,NA,5,0,3,2,2,94,91,85,79,100,74,91,50,76,82,74,79,91,85,731,212,82,85,71,97,83.75
732,29,61,NA,4,0,2,1,2,97,86,83,86,90,69,90,52,79,81,66,83,90,90,732,212.2,86,79,69,83,79.25
733,17,67,NA,2,0,2,1,1,88,88,88,82,100,65,100,59,88,84,88,94,100,82,733,219.4,88,100,88,76,88
742,29,52,NA,4,0,2,1,2,97,93,86,86,97,66,90,66,90,85,83,83,97,97,742,220.4,90,86,90,90,89
751,56,65,NA,8,1,3,2,1,70,82,88,79,91,64,91,57,70,77,79,84,89,87,751,218,80,84,79,77,80
752,13,99,NA,2,2,3,2,1,62,62,85,69,85,46,77,69,54,68,69,69,85,77,752,210.4,85,85,77,77,81
763,17,65,NA,2,1,3,2,2,76,76,82,65,88,65,82,65,71,75,65,76,88,82,763,214.8,82,88,76,94,85
772,20,65,NA,3,2,1,1,1,90,90,95,80,95,75,95,70,85,86,85,100,95,95,772,229.4,90,85,75,95,86.25
776,12,65,NA,2,0,3,2,1,100,83,92,75,100,33,92,58,58,77,58,75,75,75,776,211.8,75,83,58,67,70.75
779,18,25,NA,3,0,3,2,2,94,89,89,89,100,72,94,67,89,87,72,89,78,83,779,220.2,100,89,94,89,93
780,40,5,NA,6,3,3,2,2,95,83,83,70,95,50,93,55,83,78,80,83,75,90,780,221.6,95,93,90,93,92.75
786,24,100,NA,3,1,3,2,1,87,87,83,79,96,62,92,75,75,82,79,88,96,83,786,226.4,79,87,71,91,82
787,38,52,NA,5,2,3,2,1,92,95,92,82,95,76,97,68,82,87,76,84,92,87,787,225.2,92,87,79,82,85
788,28,67,NA,4,0,3,2,1,93,82,75,86,89,75,96,75,82,84,71,93,89,89,788,226,82,93,82,81,84.5
789,51,96,NA,7,0,2,1,1,76,73,57,67,76,53,74,49,49,64,63,71,78,88,789,217.8,76,71,53,53,63.25
799,27,56,NA,4,2,2,1,2,81,81,78,74,89,63,89,70,63,77,67,81,85,78,799,222,78,89,81,74,80.5
809,31,96,NA,4,2,2,1,1,61,65,58,81,87,68,81,29,45,64,61,84,84,84,809,224.4,74,81,61,71,71.75
810,62,65,NA,9,0,3,2,1,79,87,77,69,90,69,94,65,69,78,79,81,82,95,810,229.4,74,87,76,74,77.75
816,21,61,NA,3,0,3,2,1,95,86,86,76,95,71,100,76,86,86,86,90,100,90,816,236.4,76,81,90,90,84.25
817,70,45,NA,10,2,3,2,1,70,80,80,83,84,57,90,59,69,75,59,84,90,81,817,226.2,74,76,76,70,74
822,34,5,NA,5,4,3,2,2,82,85,88,76,91,68,88,65,76,80,76,82,85,85,822,230,76,94,76,71,79.25
835,13,65,NA,2,0,3,2,1,92,92,77,92,92,77,92,69,62,83,69,92,100,92,835,237.6,100,92,100,77,92.25
836,46,64,NA,7,0,3,2,1,93,83,80,72,93,63,85,70,63,78,70,89,91,91,836,235.4,87,93,85,72,84.25
843,18,98,NA,3,NA,3,2,1,67,67,44,67,67,53,56,50,28,55,50,50,78,89,843,222,50,72,83,72,69.25
845,19,87,NA,3,1,3,2,1,89,79,84,42,84,42,53,53,53,64,58,79,100,84,845,233.2,79,84,68,95,81.5
846,10,25,NA,1,0,2,1,2,100,100,100,100,100,100,100,70,100,97,80,100,100,90,846,243.2,100,100,80,70,87.5
847,22,56,NA,3,1,2,1,1,95,77,91,68,95,73,91,86,91,85,91,86,91,91,847,241.2,86,95,77,86,86
848,28,32,NA,4,0,2,1,2,86,79,96,50,93,57,96,68,79,78,89,82,96,89,848,240.8,89,96,78,82,86.25
849,48,65,NA,7,1,3,2,1,88,79,87,60,85,66,79,67,81,77,66,89,91,79,849,234.8,77,81,74,76,77
852,18,65,NA,3,0,3,2,1,89,94,94,78,94,50,94,78,78,83,67,94,94,50,852,231.4,83,83,78,83,81.75
858,38,45,NA,5,2,3,2,2,100,87,87,79,92,76,84,61,74,82,66,92,97,84,858,239.4,79,82,79,82,80.5
869,55,96,NA,8,0,1,1,1,60,53,36,73,82,31,89,62,35,58,60,76,64,89,869,231.6,71,71,53,65,65
870,17,84,NA,2,0,3,2,1,94,88,88,82,100,65,100,94,88,89,71,88,88,100,870,243.4,94,94,94,94,94
877,36,67,NA,5,0,3,2,1,81,86,78,69,83,42,86,64,69,73,75,89,83,91,877,243,89,97,83,69,84.5
878,17,87,NA,2,0,3,2,1,71,82,82,71,88,59,82,76,71,76,65,82,94,100,878,243.8,59,71,53,53,59
879,43,100,NA,6,NA,3,2,1,65,63,63,60,79,36,81,44,58,61,65,74,79,86,879,236.6,84,93,79,84,85
894,11,35,NA,2,0,3,2,2,73,82,73,64,100,73,82,55,73,75,55,73,91,82,894,239,82,82,91,91,86.5
895,28,75,NA,4,0,3,2,1,85,89,86,86,96,68,96,71,82,84,75,100,96,100,895,253.2,96,96,96,96,96
896,18,52,NA,3,1,2,1,1,82,83,83,83,94,61,94,67,83,81,72,100,100,100,896,253.6,100,94,94,94,95.5
897,10,55,NA,1,1,2,1,2,90,100,90,90,100,80,100,80,80,90,80,100,90,100,897,253.4,90,100,100,100,97.5
902,13,65,NA,2,0,2,1,2,92,85,62,85,92,69,92,62,54,77,54,92,92,100,902,248,85,92,77,85,84.75
908,28,65,NA,4,2,3,2,1,86,79,82,79,93,43,93,61,61,75,75,100,89,93,908,253,100,93,79,81,88.25
921,23,58,NA,3,2,3,2,1,91,87,87,74,87,57,83,52,70,76,65,96,91,74,921,249.4,87,91,70,74,80.5
922,50,45,NA,7,0,3,2,1,90,90,90,84,98,70,96,70,82,86,72,84,96,88,922,252.4,76,84,78,76,78.5
927,23,75,NA,3,0,3,2,1,87,74,74,78,91,61,91,65,70,77,78,83,83,96,927,253.4,78,95,74,78,81.25
929,60,65,NA,9,1,3,2,1,97,95,93,81,90,73,97,58,87,86,88,92,83,91,929,256.6,85,88,87,83,85.75
932,19,35,NA,3,0,3,2,2,100,79,84,84,95,79,89,79,83,86,84,89,100,84,932,257.8,100,100,95,95,97.5
937,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,27,35,0,4,2,3,2,2,85,100,89,78,96,81,89,85,74,86,48,73,81,70,7,55.8,74,63,78,78,73.25
