"date","campaignId","campaignName","cost","budget","startDate","endDate","pctSpent","remainingBudget","daysElapsed","campaignLength","enabledSegmentsTargetProgress","enabledSegmentsPacing","enabledSegmentsColor","cumulativeRolloverAmount","currentSegmentTotalBudget","currentSegmentPacing","currentSegmentPctSpent","suggestedBudget","suggestedBudgetNextSegRO","suggestedBudgetEvenRO","currentSegmentColor","currentSegmentBudget","currentSegmentCost","currentSegmentTargetProgress","segments.segmentid","segments.active","segments.budget","segments.cost","segments.rollOverMethod","segments.startDate","segments.endDate","segments.segmentOrder","segments.rollOverStatus","segments.nextSegRO","segments.evenRO","segments.budgetnextSegRO","segments.budgetevenRO","segments.cumulativeRemainingBudget","segments.daysElapsed","segments.segmentLength","segments.targetProgress","segments.pctSpent","segments.pacing","segments.color","segments.suggestedBudget","segments.suggestedBudgetNextSegRO","segments.suggestedBudgetEvenRO","advertiserId","vendorName","associations","association.accountId","advertiserName","association.advertiserCluster","association.vendorName","association.advertiserCampaignManager","rowNum","rowMax","advertiserCluster","advertiserCampaignManager"
"2017-11-06","932988618","Carpet",6915.32,8574,2017-09-15,2017-11-30,0.806545369722417,1658.68,54,77,0.701298701298701,0.105246668423715,"yellow",13.1600000000002,4450.28,0.00192152703500301,0.235254860368336,147.415217391304,147.970869565217,147.970869565217,"green",4437.5,1046.95,0.233333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,1046.95,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,7,30,0.233333333333333,0.235254860368336,0.00192152703500301,"green",147.415217391304,147.970869565217,147.970869565217,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-09","932988618","Carpet",7071.9,8574,2017-09-15,2017-11-30,0.82480755773268,1502.1,55,77,0.714285714285714,0.110521843446966,"yellow",13.1600000000002,4450.28,0.00377249671181734,0.270439163378484,146.998636363636,147.579545454545,147.579545454545,"green",4437.5,1203.53,0.266666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,1203.53,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,8,30,0.266666666666667,0.270439163378484,0.00377249671181734,"green",146.998636363636,147.579545454545,147.579545454545,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-10","932988618","Carpet",7219.7,8574,2017-09-15,2017-11-30,0.842045719617448,1354.3,56,77,0.727272727272727,0.114772992344721,"yellow",13.1600000000002,4450.28,0.00365055681889676,0.303650556818897,146.960476190476,147.569047619048,147.569047619048,"green",4437.5,1351.33,0.3,"y5MokrkGG9Afbp6as","enabled",4437.5,1351.33,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,9,30,0.3,0.303650556818897,0.00365055681889676,"green",146.960476190476,147.569047619048,147.569047619048,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-11","932988618","Carpet",7360.88,8574,2017-09-15,2017-11-30,0.858511779799394,1213.12,57,77,0.74025974025974,0.118252039539653,"yellow",13.1600000000002,4450.28,0.00204107007499149,0.335374403408325,147.2495,147.8885,147.8885,"green",4437.5,1492.51,0.333333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,1492.51,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,10,30,0.333333333333333,0.335374403408325,0.00204107007499149,"green",147.2495,147.8885,147.8885,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-12","932988618","Carpet",7526.46,8574,2017-09-15,2017-11-30,0.877823652904129,1047.54,58,77,0.753246753246753,0.124576899657376,"yellow",13.1600000000002,4450.28,0.00591438441326536,0.372581051079932,146.284736842105,146.957368421053,146.957368421053,"green",4437.5,1658.09,0.366666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,1658.09,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,11,30,0.366666666666667,0.372581051079932,0.00591438441326536,"green",146.284736842105,146.957368421053,146.957368421053,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-13","932988618","Carpet",7700.06,8574,2017-09-15,2017-11-30,0.898070912059715,873.94,59,77,0.766233766233766,0.131837145825949,"yellow",13.1600000000002,4450.28,0.011589832549862,0.411589832549862,144.767222222222,145.477222222222,145.477222222222,"green",4437.5,1831.69,0.4,"y5MokrkGG9Afbp6as","enabled",4437.5,1831.69,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,12,30,0.4,0.411589832549862,0.011589832549862,"green",144.767222222222,145.477222222222,145.477222222222,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-14","932988618","Carpet",7827.4,8574,2017-09-15,2017-11-30,0.912922789829718,746.6,60,77,0.779220779220779,0.133702010608938,"yellow",13.1600000000002,4450.28,0.00687042912655672,0.44020376245989,145.792352941176,146.544117647059,146.544117647059,"green",4437.5,1959.03,0.433333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,1959.03,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,13,30,0.433333333333333,0.44020376245989,0.00687042912655672,"green",145.792352941176,146.544117647059,146.544117647059,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-15","932988618","Carpet",7970.87,8574,2017-09-15,2017-11-30,0.929655936552368,603.13,61,77,0.792207792207792,0.137448144344575,"yellow",13.1600000000002,4450.28,0.00577551674651178,0.472442183413178,145.9375,146.73625,146.73625,"green",4437.5,2102.5,0.466666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,2102.5,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,14,30,0.466666666666667,0.472442183413178,0.00577551674651178,"green",145.9375,146.73625,146.73625,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-16","932988618","Carpet",8129.12,8574,2017-09-15,2017-11-30,0.948112899463494,444.88,62,77,0.805194805194805,0.142918094268689,"yellow",13.1600000000002,4450.28,0.00800174371050799,0.508001743710508,145.116666666667,145.968666666667,145.968666666667,"green",4437.5,2260.75,0.5,"y5MokrkGG9Afbp6as","enabled",4437.5,2260.75,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,15,30,0.5,0.508001743710508,0.00800174371050799,"green",145.116666666667,145.968666666667,145.968666666667,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-17","932988618","Carpet",8264.83,8574,2017-09-15,2017-11-30,0.963940984371355,309.17,63,77,0.818181818181818,0.145759166189537,"yellow",13.1600000000002,4450.28,0.00516312082236015,0.538496454155693,145.788571428571,146.701428571429,146.701428571429,"green",4437.5,2396.46,0.533333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,2396.46,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,16,30,0.533333333333333,0.538496454155693,0.00516312082236015,"green",145.788571428571,146.701428571429,146.701428571429,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-18","932988618","Carpet",8416.26,8574,2017-09-15,2017-11-30,0.981602519244227,157.74,64,77,0.831168831168831,0.150433688075396,"red",13.1600000000002,4450.28,0.00585685994289487,0.572523526609562,145.354615384615,146.337692307692,146.337692307692,"green",4437.5,2547.89,0.566666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,2547.89,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,17,30,0.566666666666667,0.572523526609562,0.00585685994289487,"green",145.354615384615,146.337692307692,146.337692307692,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-19","932988618","Carpet",8573.04,8574,2017-09-15,2017-11-30,0.999888033589923,0.959999999999127,65,77,0.844155844155844,0.155732189434079,"red",13.1600000000002,4450.28,0.00775277061218616,0.607752770612186,144.4025,145.4675,145.4675,"green",4437.5,2704.67,0.6,"y5MokrkGG9Afbp6as","enabled",4437.5,2704.67,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,18,30,0.6,0.607752770612186,0.00775277061218616,"green",144.4025,145.4675,145.4675,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-20","932988618","Carpet",8728.33,8574,2017-09-15,2017-11-30,1.01799976673665,-154.33,66,77,0.857142857142857,0.160856909593789,"red",13.1600000000002,4450.28,0.00931387088752467,0.642647204220858,143.412727272727,144.574545454545,144.574545454545,"green",4437.5,2859.96,0.633333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,2859.96,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,19,30,0.633333333333333,0.642647204220858,0.00931387088752467,"green",143.412727272727,144.574545454545,144.574545454545,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-21","932988618","Carpet",8855.53,8574,2017-09-15,2017-11-30,1.03283531607185,-281.530000000001,67,77,0.87012987012987,0.162705445941975,"red",13.1600000000002,4450.28,0.00456300876948557,0.671229675436152,145.034,146.312,146.312,"green",4437.5,2987.16,0.666666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,2987.16,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,20,30,0.666666666666667,0.671229675436152,0.00456300876948557,"green",145.034,146.312,146.312,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-22","932988618","Carpet",9008.21,8574,2017-09-15,2017-11-30,1.05064264054117,-434.209999999999,68,77,0.883116883116883,0.167525757424288,"red",13.1600000000002,4450.28,0.00553762909300082,0.705537629093001,144.184444444444,145.604444444444,145.604444444444,"green",4437.5,3139.84,0.7,"y5MokrkGG9Afbp6as","enabled",4437.5,3139.84,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,21,30,0.7,0.705537629093001,0.00553762909300082,"green",144.184444444444,145.604444444444,145.604444444444,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Steven"
"2017-11-23","932988618","Carpet",9174.41,8574,2017-09-15,2017-11-30,1.07002682528575,-600.41,69,77,0.896103896103896,0.173922929181852,"red",13.1600000000002,4450.28,0.00955026050795305,0.742883593841286,141.4325,143.03,143.03,"green",4437.5,3306.04,0.733333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,3306.04,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,22,30,0.733333333333333,0.742883593841286,0.00955026050795305,"green",141.4325,143.03,143.03,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-11-24","932988618","Carpet",9334.93,8574,2017-09-15,2017-11-30,1.08874854210404,-760.93,70,77,0.909090909090909,0.179657633013126,"red",13.1600000000002,4450.28,0.0122865677365617,0.778953234403228,138.705714285714,140.531428571429,140.531428571429,"green",4437.5,3466.56,0.766666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,3466.56,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,23,30,0.766666666666667,0.778953234403228,0.0122865677365617,"green",138.705714285714,140.531428571429,140.531428571429,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-11-25","932988618","Carpet",9458.98,8574,2017-09-15,2017-11-30,1.10321670165617,-884.98,71,77,0.922077922077922,0.181138779578248,"red",13.1600000000002,4450.28,0.00682788498701192,0.806827884987012,141.148333333333,143.278333333333,143.278333333333,"green",4437.5,3590.61,0.8,"y5MokrkGG9Afbp6as","enabled",4437.5,3590.61,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,24,30,0.8,0.806827884987012,0.00682788498701192,"green",141.148333333333,143.278333333333,143.278333333333,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-11-26","932988618","Carpet",9603.9,8574,2017-09-15,2017-11-30,1.12011896431071,-1029.9,72,77,0.935064935064935,0.185054029245772,"red",13.1600000000002,4450.28,0.00605879480242433,0.839392128135758,140.394,142.95,142.95,"green",4437.5,3735.53,0.833333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,3735.53,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,25,30,0.833333333333333,0.839392128135758,0.00605879480242433,"green",140.394,142.95,142.95,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-11-27","932988618","Carpet",9754.18,8574,2017-09-15,2017-11-30,1.13764637275484,-1180.18,73,77,0.948051948051948,0.189594424702892,"red",13.1600000000002,4450.28,0.0064941232162169,0.873160789882884,137.9225,141.1175,141.1175,"green",4437.5,3885.81,0.866666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,3885.81,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,26,30,0.866666666666667,0.873160789882884,0.0064941232162169,"green",137.9225,141.1175,141.1175,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-11-28","932988618","Carpet",9912.14,8574,2017-09-15,2017-11-30,1.15606951247959,-1338.14,74,77,0.961038961038961,0.195030551440628,"red",13.1600000000002,4450.28,0.00865518574112178,0.908655185741122,131.243333333333,135.503333333333,135.503333333333,"green",4437.5,4043.77,0.9,"y5MokrkGG9Afbp6as","enabled",4437.5,4043.77,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,27,30,0.9,0.908655185741122,0.00865518574112178,"green",131.243333333333,135.503333333333,135.503333333333,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-11-29","932988618","Carpet",10061.38,8574,2017-09-15,2017-11-30,1.17347562397947,-1487.38,75,77,0.974025974025974,0.199449649953499,"red",13.1600000000002,4450.28,0.00885682099403473,0.942190154327368,122.245,128.635,128.635,"green",4437.5,4193.01,0.933333333333333,"y5MokrkGG9Afbp6as","enabled",4437.5,4193.01,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,28,30,0.933333333333333,0.942190154327368,0.00885682099403473,"green",122.245,128.635,128.635,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-11-30","932988618","Carpet",10189.18,8574,2017-09-15,2017-11-30,1.18838115232097,-1615.18,76,77,0.987012987012987,0.201368165307983,"red",13.1600000000002,4450.28,0.00424078185342636,0.970907448520093,116.69,129.47,129.47,"green",4437.5,4320.81,0.966666666666667,"y5MokrkGG9Afbp6as","enabled",4437.5,4320.81,"nextSegRO",2017-11-01,2017-11-30,3,"live",12.7800000000002,12.7800000000002,4450.28,4450.28,13.1600000000002,29,30,0.966666666666667,0.970907448520093,0.00424078185342636,"green",116.69,129.47,129.47,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-12-05","932988618","Carpet",10839.02,10998.28,2017-09-15,2017-12-31,0.98551955396662,159.26,81,108,0.75,0.23551955396662,"red",20.4600000000013,2431.58,0.0879747908501812,0.217007048914697,70.2448148148148,70.5151851851852,70.5151851851852,"yellow",2424.28,527.67,0.129032258064516,"tiJjTiwG39gMngFDf","enabled",2424.28,527.67,"nextSegRO",2017-12-01,2017-12-31,4,"live",7.30000000000109,7.30000000000109,2431.58,2431.58,20.4600000000013,4,31,0.129032258064516,0.217007048914697,0.0879747908501812,"yellow",70.2448148148148,70.5151851851852,70.5151851851852,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
"2017-12-06","932988618","Carpet",10954.27,10998.28,2017-09-15,2017-12-31,0.995998465214561,44.0100000000002,82,108,0.759259259259259,0.236739205955302,"red",20.4600000000013,2431.58,0.103113891962985,0.26440421454363,68.5138461538462,68.7946153846154,68.7946153846154,"yellow",2424.28,642.92,0.161290322580645,"tiJjTiwG39gMngFDf","enabled",2424.28,642.92,"nextSegRO",2017-12-01,2017-12-31,4,"live",7.30000000000109,7.30000000000109,2431.58,2431.58,20.4600000000013,5,31,0.161290322580645,0.26440421454363,0.103113891962985,"yellow",68.5138461538462,68.7946153846154,68.7946153846154,"3768129334","Adwords","3768129334","65066446","Dolphin Carpet and Tile_1223055",NA,"Bing",NA,1,TRUE,"CL - Philadelphia","CM - Scott"
